UserID,Age,Category,Gender,Location,Income,Debt,Owns_Property,Profession,Demographics,Platform,Total_Tim_ Spent,Video_Category,Time Spent On Video,Scroll Rate,Frequency,Watch Reason,DeviceType,OS,Watch Time,CurrentActivity,ConnectionType
1,56,50-59,Male,Pakistan,82812,TRUE,TRUE,Engineer,Rural,Instagram,80,Pranks,26,87,Night,Procrastination,Smartphone,Android,9:00 PM,Commuting,Mobile Data
2,46,40-49,Female,Mexico,27999,FALSE,TRUE,Artist,Urban,Instagram,228,Pranks,25,46,Afternoon,Habit,Computer,Android,5:00 PM,At school,Wi-Fi
3,32,30-39,Female,United States,42436,FALSE,TRUE,Engineer,Rural,Facebook,30,Vlogs,9,88,Evening,Entertainment,Tablet,Android,2:00 PM,At home,Mobile Data
4,60,60-69,Male,Barzil,62963,TRUE,FALSE,Waiting staff,Rural,YouTube,101,Vlogs,6,93,Night,Habit,Smartphone,Android,9:00 PM,Commuting,Mobile Data
5,25,20-29,Male,Pakistan,22096,FALSE,TRUE,Manager,Urban,TikTok,136,Gaming,13,4,Morning,Boredom,Smartphone,iOS,8:00 AM,At home,Mobile Data
6,38,30-39,Male,Vietnam,45279,FALSE,FALSE,driver,Urban,Instagram,89,Jokes/Memes,27,38,Night,Entertainment,Computer,Android,9:00 PM,At home,Wi-Fi
7,56,50-59,Male,India,46201,FALSE,FALSE,Students,Rural,TikTok,247,Vlogs,22,63,Morning,Habit,Smartphone,Android,8:00 AM,At school,Wi-Fi
8,36,30-39,Male,Barzil,39715,FALSE,FALSE,Engineer,Rural,Instagram,191,Entertainment,28,29,Night,Entertainment,Tablet,Android,9:00 PM,At home,Mobile Data
9,40,40-49,Male,United States,49309,FALSE,FALSE,Waiting staff,Rural,Instagram,34,Vlogs,20,19,Night,Entertainment,Computer,Android,9:00 PM,At home,Mobile Data
10,28,20-29,Other,United States,35078,FALSE,FALSE,Students,Rural,YouTube,165,ASMR,4,,Evening,Boredom,Smartphone,iOS,2:00 PM,At home,Mobile Data
11,28,20-29,Male,Indonesia,76614,TRUE,TRUE,Manager,Rural,Instagram,14,Pranks,2,29,Afternoon,Boredom,Smartphone,Android,5:00 PM,At home,Mobile Data
12,41,40-49,Other,Philippines,25105,FALSE,FALSE,Labor/Worker,Urban,TikTok,129,Life Hacks,26,35,Evening,Habit,Tablet,Android,2:00 PM,At home,Wi-Fi
13,53,50-59,Male,Japan,22839,FALSE,FALSE,Waiting staff,Rural,Instagram,286,Gaming,4,,Afternoon,Habit,Smartphone,Android,5:00 PM,At school,Mobile Data
14,57,50-59,Male,Indonesia,88920,TRUE,TRUE,Waiting staff,Rural,Facebook,27,Vlogs,8,23,Evening,Entertainment,Tablet,Android,2:00 PM,Commuting,Wi-Fi
15,41,40-49,Other,Vietnam,,TRUE,TRUE,Cashier,Rural,YouTube,207,Gaming,13,46,Evening,Boredom,Tablet,iOS,2:00 PM,At school,Wi-Fi
16,20,20-29,Female,Philippines,62821,TRUE,TRUE,Students,Rural,YouTube,66,Entertainment,10,44,Evening,Entertainment,Smartphone,MacOS,2:00 PM,At school,Mobile Data
17,39,30-39,Female,Mexico,33493,FALSE,FALSE,Waiting staff,Rural,Facebook,102,ASMR,18,,Afternoon,Habit,Smartphone,iOS,5:00 PM,At home,Wi-Fi
18,,15-19,Female,Barzil,37069,FALSE,FALSE,Students,Rural,Facebook,28,ASMR,9,52,Evening,Habit,Smartphone,Windows,2:00 PM,At home,Mobile Data
19,41,40-49,Other,Japan,27531,FALSE,FALSE,Labor/Worker,Rural,Facebook,202,Pranks,1,8,Evening,Entertainment,Smartphone,iOS,2:00 PM,At work,Mobile Data
20,,60-69,Male,United States,57051,TRUE,TRUE,Labor/Worker,Urban,Instagram,246,Vlogs,13,55,Morning,Habit,Smartphone,MacOS,8:00 AM,At work,Mobile Data
21,47,40-49,Male,India,27736,FALSE,FALSE,Waiting staff,Rural,YouTube,286,Vlogs,18,66,Afternoon,Habit,Tablet,iOS,5:00 PM,Commuting,Mobile Data
22,55,50-59,Male,Barzil,27710,FALSE,FALSE,driver,Rural,Facebook,236,Entertainment,15,77,Afternoon,Boredom,Computer,Android,5:00 PM,Commuting,Mobile Data
23,19,15-19,Female,Indonesia,87155,TRUE,FALSE,Students,Rural,Instagram,242,Entertainment,2,40,Night,Boredom,Smartphone,Android,9:00 PM,At work,Mobile Data
24,38,30-39,Female,India,33975,FALSE,FALSE,Waiting staff,Urban,Facebook,49,Pranks,11,85,Evening,Habit,Smartphone,iOS,2:00 PM,At home,Mobile Data
25,50,50-59,Male,Germany,82424,TRUE,TRUE,Waiting staff,Rural,TikTok,162,Jokes/Memes,29,31,Evening,Boredom,Smartphone,Android,2:00 PM,At home,Mobile Data
26,29,20-29,Male,Japan,65603,TRUE,FALSE,Labor/Worker,Urban,TikTok,136,Jokes/Memes,14,48,Afternoon,Entertainment,Smartphone,Android,5:00 PM,At school,Wi-Fi
27,39,30-39,Male,Japan,43252,FALSE,TRUE,Students,Rural,YouTube,246,Gaming,22,61,Evening,Habit,Smartphone,Android,2:00 PM,Commuting,Mobile Data
28,61,60-69,Other,Vietnam,21431,FALSE,FALSE,Manager,Urban,Instagram,64,Life Hacks,15,52,Night,Habit,Smartphone,iOS,9:00 PM,At home,Wi-Fi
29,42,40-49,Female,India,94603,TRUE,TRUE,Labor/Worker,Rural,TikTok,181,Entertainment,14,38,Evening,Boredom,Smartphone,MacOS,2:00 PM,At work,Mobile Data
30,44,40-49,Male,India,57481,TRUE,FALSE,driver,Urban,TikTok,118,Pranks,16,91,Evening,Entertainment,Smartphone,Android,2:00 PM,At home,Wi-Fi
31,59,50-59,Male,United States,29557,FALSE,TRUE,driver,Rural,Instagram,193,Pranks,23,36,Morning,Habit,Smartphone,iOS,8:00 AM,At school,Wi-Fi
32,45,40-49,Male,United States,94971,TRUE,FALSE,Students,Rural,Facebook,207,Jokes/Memes,29,87,Afternoon,Habit,Smartphone,Android,5:00 PM,At home,Mobile Data
33,33,30-39,Male,India,20162,FALSE,TRUE,Labor/Worker,Rural,Instagram,96,Trends,15,55,Night,Boredom,Tablet,iOS,9:00 PM,Commuting,Mobile Data
34,32,30-39,Other,Mexico,54742,TRUE,FALSE,Waiting staff,Rural,Facebook,210,Trends,19,85,Evening,Entertainment,Smartphone,Android,2:00 PM,At work,Mobile Data
35,64,60-69,Female,Vietnam,39675,FALSE,TRUE,Students,Rural,TikTok,284,Entertainment,27,13,Evening,Entertainment,Tablet,iOS,2:00 PM,At school,Mobile Data
36,61,60-69,Other,Mexico,93997,TRUE,FALSE,Students,Urban,TikTok,220,Jokes/Memes,9,37,Night,Procrastination,Smartphone,Android,9:00 PM,At home,Wi-Fi
37,20,20-29,Male,United States,37015,FALSE,TRUE,Labor/Worker,Rural,TikTok,127,Entertainment,5,47,Night,Entertainment,Tablet,Android,9:00 PM,At home,Mobile Data
38,54,50-59,Male,Philippines,70057,TRUE,FALSE,Students,Urban,YouTube,200,Jokes/Memes,5,90,Afternoon,Boredom,Smartphone,iOS,5:00 PM,At school,Wi-Fi
39,24,20-29,Male,Barzil,52591,TRUE,TRUE,Cashier,Rural,YouTube,51,Jokes/Memes,11,71,Night,Habit,Smartphone,Android,9:00 PM,At home,Mobile Data
40,38,30-39,Male,Germany,29833,FALSE,FALSE,Students,Rural,YouTube,51,ASMR,28,22,Afternoon,Boredom,Tablet,Android,5:00 PM,Commuting,Mobile Data
41,26,20-29,Male,Pakistan,27896,FALSE,TRUE,Waiting staff,Urban,Instagram,285,Comedy,20,39,Evening,Boredom,Smartphone,Android,2:00 PM,At work,Mobile Data
42,56,50-59,Male,India,52972,TRUE,FALSE,Students,Urban,TikTok,26,ASMR,25,87,Evening,Habit,Smartphone,Android,2:00 PM,At school,Mobile Data
43,35,30-39,Other,Indonesia,69733,TRUE,TRUE,Cashier,Rural,TikTok,292,Life Hacks,24,58,Morning,Entertainment,Tablet,MacOS,8:00 AM,At home,Mobile Data
44,21,20-29,Female,Pakistan,61800,TRUE,FALSE,Waiting staff,Rural,Instagram,267,Gaming,28,30,Night,Entertainment,Tablet,Windows,9:00 PM,At school,Mobile Data
45,42,40-49,Other,Philippines,25347,FALSE,TRUE,Labor/Worker,Urban,YouTube,72,Gaming,4,18,Evening,Boredom,Smartphone,iOS,2:00 PM,Commuting,Mobile Data
46,31,30-39,Female,Pakistan,79063,TRUE,FALSE,Waiting staff,Rural,Instagram,71,Comedy,20,18,Evening,Procrastination,Smartphone,Windows,2:00 PM,At home,Mobile Data
47,26,20-29,Male,Vietnam,22643,FALSE,TRUE,Labor/Worker,Rural,YouTube,109,Trends,18,74,Afternoon,Procrastination,Smartphone,MacOS,5:00 PM,At school,Mobile Data
48,43,40-49,Male,Japan,60785,TRUE,TRUE,Students,Rural,TikTok,28,Pranks,25,39,Night,Entertainment,Tablet,Android,9:00 PM,At work,Mobile Data
49,19,15-19,Female,India,38681,FALSE,TRUE,Students,Rural,Facebook,26,Trends,3,94,Evening,Boredom,Tablet,Android,2:00 PM,At school,Wi-Fi
50,37,30-39,Male,United States,70026,TRUE,TRUE,Students,Urban,YouTube,255,Life Hacks,4,26,Afternoon,Procrastination,Smartphone,iOS,5:00 PM,At home,Mobile Data
51,45,40-49,Female,United States,35892,FALSE,FALSE,Waiting staff,Rural,TikTok,260,Entertainment,14,71,Afternoon,Entertainment,Tablet,Windows,5:00 PM,At home,Wi-Fi
52,64,60-69,Other,Mexico,67299,TRUE,TRUE,driver,Rural,TikTok,90,Entertainment,7,7,Evening,Entertainment,Tablet,iOS,2:00 PM,At home,Mobile Data
53,24,20-29,Male,Germany,37073,FALSE,FALSE,Students,Rural,Facebook,48,Pranks,26,69,Evening,Boredom,Tablet,MacOS,2:00 PM,Commuting,Mobile Data
54,61,60-69,Male,Vietnam,50682,TRUE,FALSE,driver,Rural,TikTok,45,Trends,8,65,Afternoon,Procrastination,Computer,Android,5:00 PM,At work,Mobile Data
55,25,20-29,Other,India,34289,FALSE,FALSE,Cashier,Rural,TikTok,206,Life Hacks,24,46,Evening,Habit,Smartphone,iOS,2:00 PM,At home,Mobile Data
56,64,60-69,Male,Japan,27927,FALSE,FALSE,Manager,Rural,YouTube,167,Life Hacks,16,18,Night,Boredom,Smartphone,Android,9:00 PM,At home,Wi-Fi
57,52,50-59,Male,Indonesia,68330,TRUE,FALSE,Labor/Worker,Rural,YouTube,213,Jokes/Memes,20,13,Afternoon,Entertainment,Smartphone,Android,5:00 PM,At school,Mobile Data
58,31,30-39,Male,United States,86707,TRUE,TRUE,Waiting staff,Rural,Facebook,205,Entertainment,15,25,Afternoon,Habit,Smartphone,Android,5:00 PM,At home,Mobile Data
59,34,30-39,Male,Vietnam,97454,TRUE,FALSE,Waiting staff,Rural,Facebook,225,Vlogs,7,8,Night,Entertainment,Tablet,Android,9:00 PM,At school,Mobile Data
60,53,50-59,Male,Japan,85428,TRUE,FALSE,driver,Urban,TikTok,294,Life Hacks,26,74,Night,Habit,Smartphone,iOS,9:00 PM,At home,Mobile Data
